"Customer ID#","Account No.","Currency","Type","Balance"
"ID1","BOS963211","USD","SAVINGS","962510"
"ID2","BOS85992","AUD","CURRENT","989898"
"ID3","BOS656613","USD","CURRENT","595290"
"ID4","BOS14824","INR","SAVINGS","772578"
"ID5","BOS657505","CAD","SAVINGS","95538"
"ID6","BOS66196","SGD","CURRENT","961629"
"ID7","BOS401497","CHF","CURRENT","873783"
"ID8","BOS928728","GBP","CURRENT","887322"
"ID9","BOS296569","HKD","SAVINGS","293795"
"ID10","BOS4763010","EUR","CURRENT","136845"
"ID11","BOS673811","INR","SAVINGS","164231"
"ID12","BOS4824812","INR","CURRENT","728255"
"ID13","BOS627413","EUR","SAVINGS","652228"
"ID14","BOS2320614","SGD","SAVINGS","15614"
"ID15","BOS3343815","SEK","SAVINGS","974080"
"ID16","BOS6687816","HKD","SAVINGS","861228"
"ID17","BOS8763417","EUR","CURRENT","647402"
"ID18","BOS27018","SEK","CURRENT","728214"
"ID19","BOS1793019","USD","CURRENT","513073"
"ID20","BOS4858520","AUD","SAVINGS","529897"
"ID21","BOS7780921","SGD","CURRENT","740159"
"ID22","BOS9222022","SEK","CURRENT","111290"
"ID23","BOS2996223","AUD","SAVINGS","568676"
"ID24","BOS7305924","INR","CURRENT","506455"
"ID25","BOS5970425","CAD","CURRENT","844120"
"ID26","BOS4615426","EUR","SAVINGS","352920"
"ID27","BOS412527","USD","SAVINGS","620577"
"ID28","BOS4478228","SGD","CURRENT","524550"
"ID29","BOS3351029","EUR","CURRENT","678598"
"ID30","BOS7971730","CHF","SAVINGS","911246"
"ID31","BOS3980631","SEK","CURRENT","824964"
"ID32","BOS2411032","CHF","CURRENT","732892"
"ID33","BOS8745633","CHF","CURRENT","390311"
"ID34","BOS6735334","CHF","SAVINGS","25883"
"ID35","BOS6493235","GBP","CURRENT","433413"
"ID36","BOS952736","USD","CURRENT","832935"
"ID37","BOS5494037","EUR","CURRENT","383775"
"ID38","BOS9321638","AUD","CURRENT","344560"
"ID39","BOS7293539","HKD","SAVINGS","774925"
"ID40","BOS7065240","INR","SAVINGS","910339"
"ID41","BOS9590341","INR","CURRENT","356853"
"ID42","BOS7414742","SEK","CURRENT","963824"
"ID43","BOS8855943","CHF","CURRENT","1652"
"ID44","BOS3387844","CHF","CURRENT","680976"
"ID45","BOS1573545","HKD","SAVINGS","733067"
"ID46","BOS3620946","INR","SAVINGS","928351"
"ID47","BOS3467947","USD","SAVINGS","953858"
"ID48","BOS3229448","GBP","SAVINGS","38161"
"ID49","BOS3852449","USD","SAVINGS","223136"
"ID50","BOS7667550","INR","CURRENT","819080"
"ID51","BOS1068951","CHF","CURRENT","736497"
"ID52","BOS5932652","CHF","CURRENT","575596"
"ID53","BOS2092753","CHF","SAVINGS","283156"
"ID54","BOS3101454","INR","SAVINGS","542943"
"ID55","BOS4030755","EUR","CURRENT","654443"
"ID56","BOS9966256","USD","CURRENT","652044"
"ID57","BOS372757","CHF","SAVINGS","840903"
"ID58","BOS5473958","SEK","CURRENT","254306"
"ID59","BOS7591659","EUR","SAVINGS","230072"
"ID60","BOS9252860","HKD","CURRENT","566137"
"ID61","BOS9589161","GBP","CURRENT","668182"
"ID62","BOS9653762","EUR","SAVINGS","527290"
"ID63","BOS6074463","GBP","CURRENT","114028"
"ID64","BOS5727364","AUD","CURRENT","38579"
"ID65","BOS5577665","SEK","SAVINGS","620937"
