"Customer ID#","Account No.","Currency","Type","Balance"
"ID1","BOS963211","USD","SAVINGS","962510"
"ID2","BOS85992","AUD","CURRENT","989898"
"ID3","BOS656613","USD","CURRENT","595290"
"ID4","BOS14824","INR","SAVINGS","772578"
"ID5","BOS657505","CAD","SAVINGS","95538"
"ID6","BOS66196","SGD","CURRENT","961629"
"ID7","BOS401497","CHF","CURRENT","873783"
"ID8","BOS928728","GBP","CURRENT","887322"
"ID9","BOS296569","HKD","SAVINGS","293795"
"ID10","BOS4763010","EUR","CURRENT","136845"
"ID11","BOS673811","INR","SAVINGS","164231"
"ID12","BOS4824812","INR","CURRENT","728255"
"ID13","BOS627413","EUR","SAVINGS","652228"
"ID14","BOS2320614","SGD","SAVINGS","15614"
"ID15","BOS3343815","SEK","SAVINGS","974080"
"ID16","BOS6687816","HKD","SAVINGS","861228"
"ID17","BOS8763417","EUR","CURRENT","647402"
"ID18","BOS27018","SEK","CURRENT","728214"
"ID19","BOS1793019","USD","CURRENT","513073"
"ID20","BOS4858520","AUD","SAVINGS","529897"
"ID21","BOS248695","CAD","SAVINGS","544004"
